time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-05-01T04:24:34.312Z,37.185,-117.8457,0,1.4,ml,17,207.62,0.166,0.3379,nn,nn00877052,2024-05-01T04:27:11.276Z,"39 km E of Big Pine, California",earthquake,,10.5,0.25,10,automatic,nn,nn
2024-05-01T04:12:05.550Z,19.3941669464111,-155.253997802734,0.800000011920929,2.18,ml,30,47,0.008978,0.25999999,hv,hv74202577,2024-05-01T04:14:41.950Z,"5 km SSW of Volcano, Hawaii",earthquake,0.2,0.239999995,0.31,13,automatic,hv,hv
2024-05-01T04:11:21.040Z,19.3718338012695,-155.239334106445,0.449999988079071,1.99,ml,9,185,0.002103,0.119999997,hv,hv74202572,2024-05-01T04:13:58.300Z,"7 km S of Volcano, Hawaii",earthquake,0.34,0.239999995,0.21,7,automatic,hv,hv
2024-05-01T04:10:59.221Z,40.1574,-119.6154,0.2,2.5,ml,15,188.19000000000005,0.09,0.2487,nn,nn00877049,2024-05-01T04:13:19.057Z,"23 km N of Sutcliffe, Nevada",earthquake,,5.4,0.23,7,automatic,nn,nn
2024-05-01T04:05:46.830Z,33.4543333,-116.4136667,12,1.37,ml,74,22,0.06961,0.18,ci,ci40734440,2024-05-01T04:16:39.350Z,"22 km N of Borrego Springs, CA",earthquake,0.14,0.37,0.144,27,automatic,ci,ci
2024-05-01T04:04:02.957Z,62.4205,-148.3795,42.6,1.1,ml,,,,0.37,ak,ak0245ltyxrb,2024-05-01T04:05:27.792Z,"69 km N of Chickaloon, Alaska",earthquake,,1.3,,,automatic,ak,ak
2024-05-01T03:55:33.590Z,38.8305016,-122.8131638,2.23,1.09,md,14,59,0.007495,0.01,nc,nc74043616,2024-05-01T03:57:08.531Z,"8 km NW of The Geysers, CA",earthquake,0.27,0.62,0.16,16,automatic,nc,nc
2024-05-01T03:43:46.576Z,60.6176,-150.3914,43.8,1.7,ml,,,,0.46,ak,ak0245ltlyg1,2024-05-01T03:45:56.915Z,"22 km ENE of Sterling, Alaska",earthquake,,0.6,,,automatic,ak,ak
2024-05-01T03:42:03.340Z,19.3916664123535,-155.254165649414,1.97000002861023,1.71,ml,13,55,0.006691,0.119999997,hv,hv74202512,2024-05-01T03:44:42.220Z,"6 km SSW of Volcano, Hawaii",earthquake,0.23,0.340000004,0.25,5,automatic,hv,hv
2024-05-01T03:38:47.534Z,44.9948,15.5934,10,4.4,mb,75,22,1.157,0.53,us,us6000mvdz,2024-05-01T06:31:33.900Z,"4 km W of Rakovica, Croatia",earthquake,3.41,1.886,0.077,48,reviewed,us,us
2024-05-01T03:22:49.955Z,59.1055,-152.3811,68.4,1.2,ml,,,,0.17,ak,ak0245lthgo3,2024-05-01T03:25:18.386Z,"38 km SW of Nanwalek, Alaska",earthquake,,1.9,,,automatic,ak,ak
2024-05-01T03:13:38.950Z,19.4004993438721,-155.257171630859,0.670000016689301,1.92,ml,20,59,0.0159,0.289999992,hv,hv74202447,2024-05-01T03:16:15.410Z,"5 km SSW of Volcano, Hawaii",earthquake,0.24,0.319999993,0.27,10,automatic,hv,hv
2024-05-01T03:10:20.630Z,19.4086666107178,-155.24333190918,2.83999991416931,1.72,ml,15,85,0.007964,0.239999995,hv,hv74202437,2024-05-01T03:12:56.950Z,"3 km SSW of Volcano, Hawaii",earthquake,0.47,0.519999981,0.26,4,automatic,hv,hv
2024-05-01T02:41:22.740Z,33.8141667,-117.635,3.37,2.79,ml,133,15,0.02865,0.21,ci,ci40734416,2024-05-01T06:37:29.523Z,"9 km SW of Corona, CA",earthquake,0.1,0.24,0.168,26,automatic,ci,ci
2024-05-01T02:41:00.120Z,19.3776666666667,-155.2415,0.13,2.35,ml,19,78,0.004163,0.08,hv,hv74202362,2024-05-01T03:02:59.110Z,"7 km S of Volcano, Hawaii",earthquake,0.18,0.12,0.138861044168713,10,reviewed,hv,hv
2024-05-01T02:39:56.470Z,18.8701666666667,-155.646833333333,2.75,2.65,md,49,282,0.1104,0.18,hv,hv74202357,2024-05-01T05:44:33.343Z,"22 km S of Wai‘ōhinu, Hawaii",earthquake,0.51,0.8,0.144127813319627,13,reviewed,hv,hv
2024-05-01T02:37:55.800Z,40.3563347,-123.5053329,30.67,2.16,md,15,124,0.03949,0.1,nc,nc74043601,2024-05-01T02:39:29.823Z,"35 km SW of Hayfork, CA",earthquake,1,1.18,0.12,9,automatic,nc,nc
2024-05-01T02:26:38.790Z,33.8161667,-117.6371667,3.48,2.84,ml,139,18,0.03132,0.2,ci,ci40734408,2024-05-01T06:21:36.442Z,"9 km SW of Corona, CA",earthquake,0.1,0.22,0.162,25,automatic,ci,ci
2024-05-01T02:23:35.484Z,-7.1926,129.3684,121.326,4.7,mb,23,57,2.706,0.71,us,us6000mvdq,2024-05-01T02:34:59.040Z,"299 km ENE of Lospalos, Timor Leste",earthquake,5.08,14.141,0.147,14,reviewed,us,us
2024-05-01T02:16:59.050Z,19.3938331604004,-155.254501342773,1.53999996185303,1.76999998,md,12,83,0.008811,0.109999999,hv,hv74202297,2024-05-01T02:18:17.080Z,"5 km SSW of Volcano, Hawaii",earthquake,0.22,0.449999988,0.25,13,automatic,hv,hv
2024-05-01T02:14:13.888Z,61.2182,-151.9169,93.5,1.1,ml,,,,0.32,ak,ak0245lsu8jw,2024-05-01T02:16:18.355Z,"45 km WNW of Tyonek, Alaska",earthquake,,1.5,,,automatic,ak,ak
